data_collector|person_id|side|height.NA|head.height.NA|head.circumference.NA|hand.length.left|hand.length.right|hand.width.left|hand.width.right|hand.elbow.left|hand.elbow.right|elbow.armpit.left|elbow.armpit.right|arm.reach.left|arm.reach.right|arm.span.NA|foot.length.left|foot.length.right|floor.kneepit.left|floor.kneepit.right|floor.hip.left|floor.hip.right|floor.navel.NA|floor.armpit.left|floor.armpit.right|units|writing|eye|eye_color|swinging|age|gender|quality|minutes|ethnicity|notes
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
2c5b39a808b670a7b171c60720597672|61409aa1fd47d4a5332de23cbf59a36f|NA|180|29.5|59|19|18.5|NA|NA|52|52.5|32.5|32.5|66|66|171|26|26|51|51|NA|NA|140|140|100|cm|right|right|brown|right|23|male|9|11|Filipino|Gathered from online friend
92241329bed9cbd825f3e7a67df61906|72d709db357443b9548b485ac9ce705f|NA|169|24|58|18|18|NA|NA|46|46.5|26|26|59|59.5|158|24.5|24.5|47|47.5|NA|NA|132.5|132.5|94|cm|right|right|brown|right|24|male|8|14|white|Gathered from online friend
7a0711c2991c4e57e47cfe6fd66a684a|b41832a538fcecc97fcf2bb2fa341429|NA|178|29|57|17.5|17.5|NA|NA|44|44|29|29|64.5|64|168|25.5|25.5|44.5|44|NA|NA|126.5|126.5|100|cm|right|right|green|right|24|male|8|16|white|Gathered from online friend
97249628ae0697882b877e4aa7342d7b|ba092f0aca4ee5d510274c706a8f336a|NA|180.3|25.4|55.9|18.5|18.5|NA|NA|48.3|47.6|28.6|29.2|66.7|66.4|167.6|24.8|24.8|53.3|53.3|NA|NA|141|141|100.3|cm|right|left|blue|right|21|male|9|10|white|oldest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|6e49f3355a5580b63869548e9dae7504|NA|163.8|22.9|57.2|17.8|17.8|NA|NA|43.2|43.2|24.8|22.9|61.6|61.6|147.5|25.4|25.4|45.1|44.5|NA|NA|123.2|124.5|87.6|cm|right|left|blue|right|20|male|9|10|white|Middle son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|af0bc706fca5c47970afe73c144fe6fd|NA|180.3|24.1|59.7|19.1|19.1|NA|NA|47|47|26.7|26|62.9|63.5|163.5|30.5|30.5|48.9|49.5|NA|NA|139.7|139.7|97.8|cm|left|right|blue|right|18|male|8|10|white|Youngest son of 1b83d5da74032b6a750ef12210642eea and 55195b6de48e7e8dcd54f70cad56d8d3
97249628ae0697882b877e4aa7342d7b|55195b6de48e7e8dcd54f70cad56d8d3|NA|159|22.9|54.6|17.1|17.1|NA|NA|42.5|42.5|22.9|22.9|61|61.6|142.3|24.1|24.4|41.9|41.3|NA|NA|123.2|123.2|85.1|cm|right|right|blue|right|43|female|8|10|white|Mother of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504, and af0bc706fca5c47970afe73c144fe6fd
97249628ae0697882b877e4aa7342d7b|1b83d5da74032b6a750ef12210642eea|NA|181|25.4|60.3|19.7|19.7|NA|NA|49.5|48.3|25.4|25.4|67.9|66|165|27.3|29.2|55.2|54|NA|NA|151.1|149.9|101.6|cm|right|left|blue|right|47|male|8|10|white|Father of ba092f0aca4ee5d510274c706a8f336a, 6e49f3355a5580b63869548e9dae7504and af0bc706fca5c47970afe73c144fe6fd
5770652f70c497804729efd7db532dbb|24dbc2b917472b089a5052b23f11f30f|NA|190|24|58|21.5|21.5|NA|NA|48|48|29|29|NA|NA|173|30|30|50|50|NA|NA|143|143|NA|cm|right|right|blue|right|27|male|6|10|white|Gathered from online friend
b8608eb659a59aee98811f385a481369|d52e32f3a96a64786814ae9b5279fbe5|NA|191.1|26.7|56.5|19.7|19.7|NA|NA|50.5|50.5|32.7|32.7|NA|NA|175.5|27.3|26.7|47.8|47.8|NA|NA|150.5|150.5|97.2|cm|right|right|hazel|right|24|male|7|10|white|Gathered from online friend
